CUST_ID,score_thin_filers,grade
SYN_2521,0.4772677,5
SYN_2531,0.009891678,1
SYN_2537,0.2865984,4
SYN_2540,0.41996795,5
SYN_2541,0.07464151,2
SYN_2545,0.08096827,2
SYN_2554,0.31586444,4
SYN_2557,0.10931081,2
SYN_2560,0.069204606,2
SYN_2574,0.31991553,4
SYN_2579,0.37434864,5
SYN_2580,0.068929695,2
SYN_2582,0.18299523,3
SYN_2591,0.4224186,5
SYN_2613,0.035858613,2
SYN_2614,0.11700465,3
SYN_2618,0.21745275,3
SYN_2620,0.15646763,3
SYN_2623,0.11603533,3
SYN_2627,0.18620695,3
SYN_2628,0.048879474,2
SYN_2640,0.11739235,3
SYN_2643,0.40282813,5
SYN_2646,0.24379972,4
SYN_2647,0.44215867,5
SYN_2649,0.03217023,2
SYN_2651,0.044298027,2
SYN_2656,0.12606718,3
SYN_2661,0.009318641,1
SYN_2667,0.016049135,1
SYN_2675,0.38453177,5
SYN_2681,0.08832672,2
SYN_2684,0.6959429,7
SYN_2685,0.081587225,2
SYN_2701,0.1404703,3
SYN_2705,0.026243754,1
SYN_2707,0.22458483,3
SYN_2717,0.39193082,5
SYN_2719,0.053779986,2
SYN_2724,0.2698508,4
SYN_2730,0.73121434,7
SYN_2737,0.1524208,3
SYN_2739,0.20903493,3
SYN_2742,0.27090228,4
SYN_2748,0.31918088,4
SYN_2754,0.0861349,2
SYN_2759,0.010544249,1
SYN_2762,0.45918196,5
SYN_2763,0.3555034,4
SYN_2788,0.17843425,3
SYN_2789,0.20175424,3
SYN_2793,0.23235025,3
SYN_2815,0.067717046,2
SYN_2816,0.213244,3
SYN_2817,0.08643193,2
SYN_2818,0.4978705,5
SYN_2827,0.1955487,3
SYN_2831,0.020234706,1
SYN_2832,0.041458767,2
SYN_2833,0.41212767,5
SYN_2837,0.1819579,3
SYN_2843,0.17125061,3
SYN_2849,0.15426822,3
SYN_2856,0.09769024,2
SYN_2868,0.048894595,2
SYN_2885,0.14430816,3
SYN_2887,0.31738955,4
SYN_2899,0.2830919,4
SYN_2900,0.3156856,4
SYN_2915,0.18708368,3
SYN_2917,0.15576714,3
SYN_2922,0.11800222,3
SYN_2924,0.18677537,3
SYN_2935,0.26268008,4
SYN_2936,0.003987183,1
SYN_2941,0.5488042,6
SYN_2969,0.09869435,2
SYN_2970,0.25736475,4
SYN_2988,0.5445107,6
SYN_3017,0.049395427,2
SYN_3025,0.11195532,2
SYN_3026,0.0026899048,1
SYN_3028,0.594276,7
SYN_3031,0.072769746,2
SYN_3035,0.09557545,2
SYN_3038,0.016175577,1
SYN_3067,0.04238179,2
SYN_3075,0.8085719,8
SYN_3076,0.13866556,3
SYN_3093,0.08810682,2
SYN_3098,0.048123587,2
SYN_3107,0.10148759,2
SYN_3111,0.12499924,3
SYN_3113,0.07113464,2
SYN_3130,0.33071485,4
SYN_3132,0.25662485,4
SYN_3139,0.40389693,5
SYN_3144,0.03931321,2
SYN_3145,0.31022358,4
SYN_3156,0.0039478885,1
SYN_3157,0.33555987,4
SYN_3159,0.18023022,3
SYN_3161,0.33287898,4
SYN_3166,0.09661746,2
SYN_3174,0.15149237,3
SYN_3175,0.10467569,2
SYN_3183,0.2354949,4
SYN_3188,0.16493818,3
SYN_3195,0.18914266,3
SYN_3200,0.41017914,5
SYN_3201,0.001628738,1
SYN_3204,0.33655754,4
SYN_3205,0.011862736,1
SYN_3241,0.029362274,1
SYN_3242,0.15179034,3
SYN_3248,0.78112006,8
SYN_3251,0.15484926,3
SYN_3252,0.17934836,3
SYN_3254,0.29953384,4
SYN_3276,0.51948285,6
SYN_3277,0.36591747,4
SYN_3285,0.1582818,3
SYN_3287,0.19731817,3
SYN_3289,0.2777045,4
SYN_3300,0.039292883,2
SYN_3302,0.18137741,3
SYN_3303,0.13355248,3
SYN_3304,0.6012056,7
SYN_3305,0.2607227,4
SYN_3306,0.47201023,5
SYN_3307,0.028368346,1
SYN_3314,0.012575151,1
SYN_3322,0.03040091,1
SYN_3323,0.47087163,5
SYN_3333,0.16651021,3
SYN_3338,0.14268099,3
SYN_3339,0.06734714,2
SYN_3358,0.5005728,6
SYN_3363,0.49519995,5
SYN_3366,0.29648644,4
SYN_3367,0.32107157,4
SYN_3374,0.6442014,7
SYN_3388,0.494349,5
SYN_3389,0.3465961,4
SYN_3391,0.24699444,4
SYN_3393,0.15072972,3
SYN_3397,0.23874184,4
SYN_3398,0.5080283,6
SYN_3402,0.08367115,2
SYN_3404,0.40248224,5
SYN_3425,0.29359135,4
SYN_3430,0.1862577,3
SYN_3434,0.49939644,6
SYN_3435,0.06028488,2
SYN_3449,0.08810389,2
SYN_3461,0.43366125,5
SYN_3472,0.27196157,4
SYN_3490,0.29489338,4
SYN_3502,0.10952311,2
SYN_3507,0.022968145,1
SYN_3508,0.042160053,2
SYN_3517,0.41483745,5
SYN_3535,0.0054985574,1
SYN_3536,0.13726929,3
SYN_3537,0.22126791,3
SYN_3541,0.22216621,3
SYN_3550,0.10752597,2
SYN_3551,0.3334393,4
SYN_3552,0.0050773625,1
SYN_3568,0.6319499,7
SYN_3579,0.33335397,4
SYN_3580,0.27621135,4
SYN_3604,0.0931007,2
SYN_3606,0.17564578,3
SYN_3614,0.19251777,3
SYN_3625,0.22593409,3
SYN_3634,0.008018386,1
SYN_3636,0.07264206,2
SYN_3642,0.26325956,4
SYN_3646,0.13373291,3
SYN_3652,0.12408197,3
SYN_3660,0.12176244,3
SYN_3661,0.5007823,6
SYN_3667,0.81404364,8
SYN_3668,0.4632892,5
SYN_3679,0.046550587,2
SYN_3682,0.010869981,1
SYN_3710,0.012473085,1
SYN_3712,0.22650443,3
SYN_3716,0.35305715,4
SYN_3731,0.14380437,3
SYN_3747,0.44439632,5
SYN_3750,0.80860037,8
SYN_3751,0.040422127,2
SYN_3752,0.0018296874,1
SYN_3758,0.047919538,2
SYN_3763,0.043563828,2
SYN_3765,0.298497,4
SYN_3767,0.12898244,3
SYN_3770,0.46633893,5
SYN_3786,0.1569469,3
SYN_3788,0.11939523,3
SYN_3792,0.23493136,4
SYN_3803,0.029084645,1
SYN_3810,0.4873863,5
SYN_3813,0.05767819,2
SYN_3814,0.22001609,3
SYN_3817,0.04700805,2
SYN_3833,0.08119739,2
SYN_3836,0.11218695,2
SYN_3843,0.22867192,3
SYN_3849,0.1691798,3
SYN_3852,0.46953782,5
SYN_3858,0.34388137,4
SYN_3859,0.6075353,7
SYN_3860,0.3128941,4
SYN_3866,0.4827787,5
SYN_3871,0.13436016,3
SYN_3883,0.030107938,1
SYN_3887,0.3156425,4
SYN_3901,0.45392486,5
SYN_3907,0.32167187,4
SYN_3922,0.26141277,4
SYN_3929,0.59114826,6
SYN_3932,0.40799695,5
SYN_3938,0.2597568,4
SYN_3940,0.17820905,3
SYN_3943,0.37029225,5
SYN_3945,0.0132553205,1
SYN_3956,0.42251918,5
SYN_3984,0.105422296,2
SYN_3985,0.217929,3
SYN_3988,0.23125526,3
SYN_3998,0.3744662,5
SYN_4007,0.11025692,2
SYN_4010,0.057217043,2
SYN_4012,0.0067158123,1
SYN_4014,0.15588005,3
SYN_4015,0.2889176,4
SYN_4019,0.20792389,3
SYN_4027,0.18930534,3
SYN_4055,0.19671997,3
SYN_4075,0.37761384,5
SYN_4084,0.37957242,5
SYN_4101,0.1132332,2
SYN_4123,0.44821054,5
SYN_4126,0.13307558,3
SYN_4137,0.8328368,8
SYN_4142,0.5710341,6
SYN_4158,0.13282931,3
SYN_4159,0.21262085,3
SYN_4163,0.19694173,3
SYN_4168,0.07281599,2
SYN_4173,0.18709761,3
SYN_4175,0.06907684,2
SYN_4176,0.2705354,4
SYN_4179,0.46778435,5
SYN_4186,0.08148531,2
SYN_4191,0.19262686,3
SYN_4199,0.4030015,5
SYN_4205,0.19666786,3
SYN_4219,0.05844647,2
SYN_4246,0.29833218,4
SYN_4248,0.05696364,2
SYN_4251,0.09610524,2
SYN_4255,0.1630593,3
SYN_4260,0.0137875425,1
SYN_4266,0.07502318,2
SYN_4267,0.10442188,2
SYN_4283,0.15908174,3
SYN_4306,0.38382143,5
SYN_4315,0.020495173,1
SYN_4317,0.26272884,4
SYN_4332,0.62142485,7
SYN_4347,0.414876,5
SYN_4383,0.04782948,2
SYN_4384,0.12838781,3
SYN_4397,0.10275702,2
SYN_4400,0.098042466,2
SYN_4407,0.36066267,4
SYN_4414,0.30644065,4
SYN_4421,0.14112066,3
SYN_4424,0.2920631,4
SYN_4428,0.5097365,6
SYN_4431,0.24729365,4
SYN_4434,0.20765686,3
SYN_4442,0.057111405,2
SYN_4454,0.04701807,2
SYN_4457,0.093294755,2
SYN_4476,0.17305112,3
SYN_4500,0.0706247,2
SYN_4502,0.36131057,4
SYN_4503,0.30960122,4
SYN_4508,0.3440324,4
SYN_4517,0.12176309,3
SYN_4534,0.36068437,4
SYN_4552,0.30025393,4
SYN_4567,0.16356589,3
SYN_4578,0.11892333,3
SYN_4579,0.35863364,4
SYN_4591,0.17288293,3
SYN_4597,0.29583886,4
SYN_4598,0.0562489,2
SYN_4609,0.17956173,3
SYN_4630,0.27054235,4
SYN_4643,0.08562035,2
SYN_4645,0.4294471,5
SYN_4651,0.14032573,3
SYN_4654,0.46581423,5
SYN_4662,0.17818576,3
SYN_4667,0.29257265,4
SYN_4668,0.0008856492,1
SYN_4673,0.37414643,5
SYN_4676,0.20802164,3
SYN_4699,0.121905245,3
SYN_4708,0.4671227,5
SYN_4713,0.43299145,5
SYN_4718,0.0020064465,1
SYN_4723,0.09425505,2
SYN_4724,0.11307546,2
SYN_4725,0.15585902,3
SYN_4726,0.58402306,6
SYN_4728,0.19948164,3
SYN_4730,0.08034482,2
SYN_4740,0.083149455,2
SYN_4742,0.08373665,2
SYN_4747,0.3273388,4
SYN_4769,0.07974132,2
SYN_4772,0.17913656,3
SYN_4774,0.08045686,2
SYN_4782,0.08830597,2
SYN_4790,0.613888,7
SYN_4791,0.1434537,3
SYN_4799,0.08906888,2
SYN_4816,0.27569032,4
SYN_4819,0.27538157,4
SYN_4828,0.17656882,3
SYN_4831,0.070037566,2
SYN_4835,0.26224163,4
SYN_4851,0.4228482,5
SYN_4881,0.65993625,7
SYN_4882,0.29589927,4
SYN_4894,0.21691361,3
SYN_4898,0.5820222,6
SYN_4909,0.30978134,4
SYN_4910,0.2615549,4
SYN_4911,0.07766567,2
SYN_4928,0.07690144,2
SYN_4932,0.54383117,6
SYN_4935,0.12192211,3
SYN_4941,0.55587584,6
SYN_4943,0.2381429,4
SYN_4954,0.24968372,4
SYN_4957,0.082040615,2
SYN_4970,0.16296987,3
SYN_4974,0.21276546,3
SYN_4979,0.19653392,3
SYN_4985,0.13604803,3
SYN_4986,0.073571876,2
SYN_4987,0.18205777,3
SYN_4989,0.4502969,5
SYN_4991,0.16040693,3
SYN_5002,0.025749521,1
SYN_5008,0.15140426,3
SYN_5024,0.19921473,3
SYN_5036,0.46413696,5
SYN_5042,0.43628868,5
SYN_5057,0.20723215,3
SYN_5059,0.20158927,3
SYN_5060,0.00065900484,1
SYN_5062,0.54866856,6
SYN_5068,0.10628367,2
SYN_5072,0.064614326,2
SYN_5077,0.45466134,5
SYN_5095,0.21852998,3
SYN_5103,0.32007226,4
SYN_5106,0.2231375,3
SYN_5110,0.052652564,2
SYN_5114,0.31245896,4
SYN_5125,0.035546385,2
SYN_5145,0.25923407,4
SYN_5147,0.27526572,4
SYN_5148,0.12701227,3
SYN_5150,0.30684912,4
SYN_5158,0.047786053,2
SYN_5174,0.2641548,4
SYN_5178,0.702186,7
SYN_5193,0.14414468,3
SYN_5210,0.43561515,5
SYN_5215,0.8719094,9
SYN_5218,0.10647796,2
SYN_5225,0.36582497,4
SYN_5231,0.19076854,3
SYN_5235,0.08198018,2
SYN_5245,0.31478152,4
SYN_5257,0.049921773,2
SYN_5267,0.22240037,3
SYN_5271,0.021238461,1
SYN_5278,0.28016,4
SYN_5280,0.3663467,4
SYN_5282,0.50521785,6
SYN_5293,0.26846004,4
SYN_5294,0.1152072,3
SYN_5309,0.24111964,4
SYN_5314,0.22031616,3
SYN_5317,0.30011433,4
SYN_5327,0.42246053,5
SYN_5335,0.10429872,2
SYN_5360,0.0025034882,1
SYN_5373,0.15889147,3
SYN_5374,0.31748712,4
SYN_5376,0.19975159,3
SYN_5381,0.5137628,6
SYN_5395,0.09336324,2
SYN_5401,0.17726387,3
SYN_5405,0.17615171,3
SYN_5408,0.08454854,2
SYN_5464,0.23449837,4
SYN_5469,0.044547886,2
SYN_5486,0.12726654,3
SYN_5490,0.08710306,2
SYN_5494,0.22516493,3
SYN_5501,0.06795973,2
SYN_5516,0.34556863,4
SYN_5533,0.048843265,2
SYN_5539,0.19050233,3
SYN_5548,0.025484124,1
SYN_5551,0.25714815,4
SYN_5554,0.09897331,2
SYN_5566,0.40885493,5
SYN_5569,0.32715517,4
SYN_5573,0.303535,4
SYN_5575,0.16016723,3
SYN_5585,0.5585326,6
SYN_5587,0.38616195,5
SYN_5590,0.30068478,4
SYN_5594,0.5353509,6
SYN_5596,0.34376052,4
SYN_5601,0.09291102,2
SYN_5604,0.4753369,5
SYN_5609,0.29562518,4
SYN_5614,0.3998823,5
SYN_5623,0.43754584,5
SYN_5645,0.27158797,4
SYN_5649,0.26916102,4
SYN_5652,0.8134838,8
SYN_5658,0.07153075,2
SYN_5667,0.09999693,2
SYN_5685,0.20980145,3
SYN_5689,0.67036664,7
SYN_5701,0.38697997,5
SYN_5714,0.12716849,3
SYN_5726,0.4438044,5
SYN_5736,0.6478472,7
SYN_5739,0.016644182,1
SYN_5746,0.2881189,4
SYN_5749,0.042034876,2
SYN_5754,0.15005682,3
SYN_5759,0.01427635,1
SYN_5760,0.28409135,4
SYN_5778,0.20909552,3
SYN_5781,0.094932534,2
SYN_5787,0.30665627,4
SYN_5790,0.08345676,2
SYN_5791,0.14733054,3
SYN_5824,0.4424928,5
SYN_5839,0.22707887,3
SYN_5846,0.34087664,4
SYN_5847,0.5344771,6
SYN_5848,0.08823706,2
SYN_5849,0.05537038,2
SYN_5850,0.002349516,1
SYN_5871,0.10676145,2
SYN_5881,0.3068554,4
SYN_5906,0.23983909,4
SYN_5915,0.5282928,6
SYN_5917,0.22158292,3
SYN_5924,0.30327567,4
SYN_5931,0.35758927,4
SYN_5935,0.65757036,7
SYN_5938,0.15514755,3
SYN_5950,0.29206732,4
SYN_5968,0.028773779,1
SYN_5973,0.45601434,5
SYN_5990,0.25096938,4
SYN_5992,0.30160013,4
SYN_5993,0.09783038,2
SYN_6006,0.008722885,1
SYN_6011,0.30557156,4
SYN_6012,0.074233875,2
SYN_6016,0.19228049,3
SYN_6020,0.058815807,2
SYN_6028,0.4882695,5
SYN_6030,0.35729244,4
SYN_6031,0.47827452,5
SYN_6040,0.041394405,2
SYN_6044,0.20227118,3
SYN_6052,0.10183325,2
SYN_6061,0.364941,4
SYN_6078,0.30600882,4
SYN_6081,0.0338779,2
SYN_6083,0.019260539,1
SYN_6086,0.09236888,2
SYN_6087,0.4772779,5
SYN_6092,0.0066235955,1
SYN_6097,0.08530711,2
SYN_6107,0.23791665,4
SYN_6108,0.15805867,3
SYN_6110,0.14083114,3
SYN_6125,0.17402181,3
SYN_6128,0.0037730075,1
SYN_6130,0.09072363,2
SYN_6132,0.03665807,2
SYN_6133,0.116870575,3
SYN_6144,0.45627776,5
SYN_6151,0.7224964,7
SYN_6153,0.32617322,4
SYN_6156,0.0005330256,1
SYN_6165,0.21865387,3
SYN_6179,0.123566404,3
SYN_6181,0.19690412,3
SYN_6202,0.46512637,5
SYN_6208,0.122889325,3
SYN_6218,0.115650065,3
SYN_6224,0.38070792,5
SYN_6242,0.2524183,4
SYN_6244,0.16615058,3
SYN_6245,0.10312311,2
SYN_6255,0.5220345,6
SYN_6271,0.36337373,4
SYN_6278,0.10741441,2
SYN_6284,0.006710153,1
SYN_6287,0.3132223,4
SYN_6288,0.45460954,5
SYN_6313,0.038567327,2
SYN_6330,0.09866493,2
SYN_6334,0.110302016,2
SYN_6340,0.3085235,4
SYN_6341,0.028316375,1
SYN_6347,0.3023233,4
SYN_6349,0.07091879,2
SYN_6350,0.23650385,4
SYN_6363,0.21505594,3
SYN_6364,0.0278894,1
SYN_6370,0.19210693,3
SYN_6378,0.40610644,5
SYN_6385,0.4672707,5
SYN_6416,0.043663964,2
SYN_6417,0.0075266073,1
SYN_6420,0.28122973,4
SYN_6433,0.1236654,3
SYN_6439,0.10426589,2
SYN_6445,0.21089435,3
SYN_6448,0.3519686,4
SYN_6452,0.18381791,3
SYN_6470,0.33327386,4
SYN_6476,0.012492864,1
SYN_6490,0.39299625,5
SYN_6499,0.17206068,3
SYN_6507,0.018375216,1
SYN_6521,0.11228765,2
SYN_6523,0.8641116,9
SYN_6534,0.27659193,4
SYN_6537,0.25585932,4
SYN_6540,0.23646161,4
SYN_6552,0.0143020805,1
SYN_6556,0.110217676,2
SYN_6563,0.23798177,4
SYN_6567,0.02270694,1
SYN_6577,0.12204013,3
SYN_6579,0.23862818,4
SYN_6583,0.41680804,5
SYN_6587,0.020923927,1
SYN_6594,0.5203664,6
SYN_6596,0.53306586,6
SYN_6615,0.38150144,5
SYN_6626,0.18522976,3
SYN_6657,0.006937866,1
SYN_6663,0.09327632,2
SYN_6665,0.0533614,2
SYN_6697,0.2561173,4
SYN_6702,0.3212148,4
SYN_6704,0.28927866,4
SYN_6708,0.09648,2
SYN_6718,0.116729245,3
SYN_6732,0.4610251,5
SYN_6738,0.19150946,3
SYN_6739,0.20543556,3
SYN_6758,0.48764542,5
SYN_6762,0.58214295,6
SYN_6763,0.35329145,4
SYN_6767,0.32981563,4
SYN_6784,0.31985706,4
SYN_6793,0.22002788,3
SYN_6797,0.13620715,3
SYN_6799,0.37328446,5
SYN_6800,0.18931493,3
SYN_6844,0.017476505,1
SYN_6849,0.3303147,4
SYN_6851,0.13141854,3
SYN_6853,0.28209963,4
SYN_6855,0.08914869,2
SYN_6862,0.2659072,4
SYN_6867,0.43480182,5
SYN_6869,0.1563327,3
SYN_6885,0.20328714,3
SYN_6896,0.30471584,4
SYN_6898,0.12650365,3
SYN_6901,0.019691298,1
SYN_6902,0.17054498,3
SYN_6909,0.1633813,3
SYN_6913,0.09770142,2
SYN_6931,0.1436155,3
SYN_6932,0.22333069,3
